Elliptic Curve: brainpoolP256r1
Field Prime: 76884956397045344220809746629001649093037950200943055203735601445031516197751
Base Point: (63243729749562333355292243550312970334778175571054726587095381623627144114786, 38218615093753523893122277964030810387585405539772602581557831887485717997975)
Polynomial Degree: 7
Polynomial Coefficients: [45, 45, 23, 44, 57, 30, 21, 29]
Public Key: (12222410699210103364690715213263969406432396612877493580235144393493812513145, 2520990063933025729941768675737822360931704314595833549898271828415591318680)
11770043682700108540577975274430278281182732724707002677183575252891074246710, 69729948858066190100848091388371101558058380617719941719170176515973711296603
18626884076812338794248411446676400112085817493428576272260998138487141878977, 34217169946589487246391397742507141066200070008310065230410855342913826210516
73916602837397936283174671469218669611203748635472841801815598987120718962316, 35841175855313412680078004492311029427146823332926403365715172371336893252567
17555222926667930494546007125779821029942818197316662683465318299174252997303, 34494932315633209896758261373009390053882695160272738419541781559890841379035
12099309557330650644214205494594213882526336486359048891665670460974911668080, 40727783662752857606216302633481000736858578881272262953481119041824928300512
41421184677664110916758197560549885095416713185507824140666677708400546513190, 75753012940508629444300115640219209454138669914181806152096146818475730940965
13315072811442493903705014664463376447004263940400164007317096621848041488872, 53766036808326792547709778725587069568055316003312682690975892179519878975825
26918278520883297979983232894051845575469325660675362044998589010822199384517, 7531050869429676925963077384093322120061554326929162594748170131068821988062
2605730482843371504838647726794827563685406044945209655402270759992275991169, 66357300492419460809225993516705114460795066962058412432883084243393975800976
76279748011049261925565690483151276647296926435065359420377524074106882334575, 10202804128851893451618220791936391946085532501525436442714062828271601055584
25154051324978308259598714871618507235684158347853005963061077768965916586857, 5538397970752300010506204305597939914304796283216203279921901730014322196416
2937329420377258398475138059708075983752402529506181466259935392679982188431, 29080057566330268034632372407279068288310395367060571291815840171656533706128
36323852747463647359199069892132479439014637317087443299444255805305803282314, 8989314395354651199325092995401668370862024860173961195037031573451601094606
72101837099858868432632210220223837887989159686386842290442216659493119428327, 18957744969356975042715226133959299730758809774371970206704430798124924359876
4193329991699130345705785482755985562043938484524078012396967455538571484468, 3665213118444954427638664746316893160038358170598454831466714031785919124861
7745169176806804369428140548408975769760721515463382131475450471100382904743, 57900473494444021361805655557149520839035940917815239587865232437657399886829
76314166211638676710706918555868435171853437791366173826974544236440839276636, 19244262093787208319954578697505453164231196114821708506531650467720709544254
43635047038521326325821681589103464558495275657036190240967299823808363058711, 60238584698836085001219144895389304238401092237736478648878971817845424863545
15391662331579476178615508973023617124221114256130389181572963757200650957748, 65055203706512480309185634423475828191267861856902314756334225383459645230270
6769198384774483524385770431470287614310663426288385259195593560501593309302, 26335575890269954895378439016498830947801362348394105861107446375636749674795
67079633141397338938628095124546640171025668319044538479964257984594207590317, 66439518147121507764413658312039921817754315761580403793096140076199593244477
73104577012322311740676722996593586424825333466640503429310021707472097602097, 28671806626754972774343031064550305799488003497198783320118749582338904740997
46133253869519553292867975049562729157117745296719223511496355082173637977852, 57394716918967297883285532576133477353519230784525730984751018323060970691270
37418778122363108920639750875781353610082750081788490584693286169139784038248, 68684878261696853397776736399730041533119300418019708346566413171602300794728
11976761944818192891895172917484849733516339134433128039282764920056968963677, 18821317523823957920786467351948316139604417805761661940059852265647023890030
67083815546876478915426812174410785826461187273945080831771716548516404955083, 42268022770863431333895794034850942908692373308212087543960835154961389004118
48623003150422981213892834705593654446689017878524001756416354186230264497944, 44180647085465480325255871919928244698587380828283239835281155340342693963887
66410298286760919607061202108166941158394542694011251160208331771953570593025, 6034015544041489161939651874785453776969363781028068276058055039688115535267
23840608660655355319027509255239115698979496710165033979284735024845669073992, 63019207673379243851557784922620667787427409556753579516324854679961866927462
28806679583211817550089691977215412145853365113492014185159998649384217703772, 72418435514295733717525864630880103207431678008355463416271386609814095659249
44678645710001232765875838157820414357059602332808639643619764829512168864496, 5419694777107572463332276064811824963861199315525141355357231224423015195629
36741671586523070514537422461328094800339931029081464316933652803490977361018, 35573127203926831186649486895050969360861972454176381957468593930079820174745
15371365876296906799386619563241156484973634782549694692266848418506941596440, 21058387933038769555688133484985152701787573554008258592759564072433402463682
21687239295787843958181168035425440732392069307422329603276187480103912166691, 45707080038620324376947048831909332960923422598302724498565568497497808553869
42219256073660811999986662768306921113912149001350480819369190887621350654181, 45861468960605237446505368024009734583468067166755312875801171455931138988548
56283219077409213709265215556527062773691708710615125906926948732183066153661, 72390335509840452819650592314551349297964404232914394277562135612692516951571
35061855482974381632710104045748051246840194157353784221476187563790859721813, 70028970518450457432955038283802304312464739220917169513352543407497140783083
12525190704686477709263337023721656362269260550951348493869119454289145155345, 27247781400186418759034598746817743955673061288225391306529480036200372674218
14269384627433523077810559453594461959392831965226656838262145972975875377351, 20512242005369047419002789705488076459306273984232544049710054235484420755827
38672777766327673520426637731824086807535529778437870143441217806034491811245, 11732116116171263756906105530857043368671737040466001164097076980528137308651
