Elliptic Curve: brainpoolP256r1
Field Prime: 76884956397045344220809746629001649093037950200943055203735601445031516197751
Base Point: (63243729749562333355292243550312970334778175571054726587095381623627144114786, 38218615093753523893122277964030810387585405539772602581557831887485717997975)
Polynomial Degree: 9
Polynomial Coefficients: [36, 61, 38, 20, 58, 40, 30, 31, 53, 31]
Public Key: (61410259138139687722495106239753093719956070993755739854135672663361301207740, 62805786462017158113744607828589871116385494654559037715020532820883546595809)
55052051939891436746663435588538135995112743488139296152125428615109390270028, 60548389361557456888043238222063198309699768073137642574491096567401935705765
57034780457121365900545265555855095770353217370037093006023124886970707922179, 22970471097297198970926065383101879379342550962123963436309970372265841513271
10203389471035339805776739119870579692214048790366055282949460759201735189550, 55461680606191271238785970031026043729120017743303086813311604302097999212360
40641121013223839130144930271913460297958995659112801023869403086837259187681, 37566034724743069087032688249078993618579242760742683452134384170803849775414
26261094192603912680213118506506088976243678766024246933596256308637642425173, 41604768272470865324052268137951352225679938163936544832884991239025541170816
51980017759898770935124160714270029377643035015073546835242483752881812748680, 22120794149163722771957622566429638999811503835479040989251392862021844325566
8417563976363951667061658589551548326011310374758713084039267377463298049224, 24577319018048044456184564450645139149002776793895060006236791696322164980989
13428582272690790390068923567667392018271310223996668428642516899021164570511, 35162635282751379621038324618412954788115141719888948886191199197025938603228
7540652678434839845286583558162806123470789944354778545298016732067015301902, 51383358790296278761571284976112815529852543183792284375511750493251715248845
25412008099297245873846783636256283393436160663003224199962131239407433980915, 35757107922337713802555473202979655530999180352736562113928470838006765414168
60002455311637602123149243860846671481843998687842540185060171870077329576196, 22071373659361025195077881379896992201728133817267732019167909816197085026175
10961502855187182542073437434749079732408941493099151658944056389345063167991, 49528267498527718336006133661099849456774588527288316505894529178762993806003
20831043054482340189188198579130977419752876733734799684503124852954408703652, 53453325379456421822328927340566291216508850466651845777770420272024444834135
17498416688355896754484890078863838324958464745943786456862910444699584981720, 24681772734846984489175412414198445716690861359391016066961565310939786790004
7088500512026443598081424554870627380883576713575501675769037644740269777913, 68372595731263538344497751856474635941401979184169421300689819125634610214839
48648091766035391251677660389980369316366587862850941024381944035345795020225, 9665235552190443527993010539909725506807039867342894141726147713897866036526
58831157347217379021024839704161670970455851500014205909082380506677941609362, 31668159187443251842866614075403755856482875056022812871421319094752890787530
17197719649516082012115634162380943688741030819242001445494386844292779968571, 61215503262235249254846402267290359769187852937662503792038093999126987421858
